"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"AADAT",-1.22398388825854,4.89144713506507,-1.76002856909182,0.112673570219807,0.999950192382521,-4.48871159606595,"Downregulated"
"KLC4",-1.07701358973816,6.81937103799379,-1.74260141708899,0.115795672545544,0.999950192382521,-4.49142646168147,"Downregulated"
"CXCL14",-1.28609728704452,5.75233048710682,-1.73917712572777,0.116418448278088,0.999950192382521,-4.49195980687036,"Downregulated"
"STEAP3",-1.08924554065869,7.08484505586963,-1.7157383269838,0.120764765618169,0.999950192382521,-4.49560921018612,"Downregulated"
"SLC7A2",-1.07373668528174,6.15992364503248,-1.70596075276193,0.122621528356077,0.999950192382521,-4.4971307608754,"Downregulated"
"C1S",-1.66302910247453,9.14889044952054,-1.68838134302975,0.12602580144179,0.999950192382521,-4.49986488254489,"Downregulated"
"HPX",-1.87841915817233,8.93747545209286,-1.66917747216054,0.129843212439277,0.999950192382521,-4.50284897801772,"Downregulated"
"SLC25A47",-1.8644415349133,8.34079151410798,-1.66041957993924,0.131618885005462,0.999950192382521,-4.5042087891118,"Downregulated"
"NR0B2",-1.00089163875563,6.99662002578686,-1.63980140584279,0.13588672773445,0.999950192382521,-4.50740702980377,"Downregulated"
"F13B",-1.20283807156047,4.36367211030902,-1.63649481092874,0.136582736088397,0.999950192382521,-4.50791950215527,"Downregulated"
"SLC25A18",-1.70274759233356,7.21916075991067,-1.62001167164801,0.140100657704998,0.999950192382521,-4.51047214482205,"Downregulated"
"CYP2E1",-2.28251165032427,10.9160483868113,-1.59287412132123,0.146070968542618,0.999950192382521,-4.51466672889928,"Downregulated"
"CLRN3",-1.20386490568302,5.0395257627432,-1.58548492341284,0.147735757779164,0.999950192382521,-4.51580693585002,"Downregulated"
"CFHR3",-1.27256686892883,5.55194146891939,-1.56639281076624,0.15211624417892,0.999950192382521,-4.51874877476471,"Downregulated"
"NDRG2",-1.1467248851772,6.54636738445012,-1.56605465269142,0.152194867388492,0.999950192382521,-4.51880082300373,"Downregulated"
"ADHFE1",-1.00561800803342,6.04854983701,-1.56068651703252,0.153447853978834,0.999950192382521,-4.51962679070842,"Downregulated"
"CFHR4",-2.10805257008087,8.26787690189451,-1.55773743546243,0.154140116998734,0.999950192382521,-4.52008032421638,"Downregulated"
"RNF152",-1.02808271498723,4.36032030253566,-1.5475357501256,0.156556376562776,0.999950192382521,-4.52164794389342,"Downregulated"
